Find Bookstore.; F ( Bookstore )
Find Starbucks and then find Watson Center.; F ( Starbucks & F ( Watson Center ) )
Find Starbucks and then find Marston Hall.; F ( Starbucks & F ( Marston Hall ) )
Find Starbucks and then find FedEx Office.; F ( Starbucks & F ( FedEx Office ) )
Find Starbucks and then find Nelson Fitness Center.; F ( Starbucks & F ( Nelson Fitness Center ) )
Find Chipotle and then find Bookstore.; F ( Chipotle & F ( Bookstore ) )
Find Chipotle and then find Science Library.; F ( Chipotle & F ( Science Library ) )
Find Chipotle and then find Kabob and Curry.; F ( Chipotle & F ( Kabob and Curry ) )
Find Chipotle and then find CVS.; F ( Chipotle & F ( CVS ) )
Find Chipotle and then find Citizen's Bank.; F ( Chipotle & F ( Citizen's Bank ) )
Find Chipotle and then find Barus Building.; F ( Chipotle & F ( Barus Building ) )
Find Chipotle and then find Watson Center.; F ( Chipotle & F ( Watson Center ) )
Find Chipotle and then find Marston Hall.; F ( Chipotle & F ( Marston Hall ) )
Find Chipotle and then find FedEx Office.; F ( Chipotle & F ( FedEx Office ) )
Find Chipotle and then find Nelson Fitness Center.; F ( Chipotle & F ( Nelson Fitness Center ) )
Find Chipotle and then find Starbucks.; F ( Chipotle & F ( Starbucks ) )
Find Kabob and Curry and then find Bookstore.; F ( Kabob and Curry & F ( Bookstore ) )
Find Kabob and Curry and then find Science Library.; F ( Kabob and Curry & F ( Science Library ) )
Find Kabob and Curry and then find Chipotle.; F ( Kabob and Curry & F ( Chipotle ) )
Find Kabob and Curry and then find Starbucks.; F ( Kabob and Curry & F ( Starbucks ) )
Find Kabob and Curry and then find CVS.; F ( Kabob and Curry & F ( CVS ) )
Find Kabob and Curry and then find Citizen's Bank.; F ( Kabob and Curry & F ( Citizen's Bank ) )
Find Kabob and Curry and then find Barus Building.; F ( Kabob and Curry & F ( Barus Building ) )
Find Kabob and Curry and then find Watson Center.; F ( Kabob and Curry & F ( Watson Center ) )
Find Kabob and Curry and then find Marston Hall.; F ( Kabob and Curry & F ( Marston Hall ) )
Find Kabob and Curry and then find FedEx Office.; F ( Kabob and Curry & F ( FedEx Office ) )
Find Kabob and Curry and then find Nelson Fitness Center.; F ( Kabob and Curry & F ( Nelson Fitness Center ) )
Find CVS and then find Bookstore.; F ( CVS & F ( Bookstore ) )
Find CVS and then find Science Library.; F ( CVS & F ( Science Library ) )
Find CVS and then find Chipotle.; F ( CVS & F ( Chipotle ) )
Find CVS and then find Starbucks.; F ( CVS & F ( Starbucks ) )
Find CVS and then find Kabob and Curry.; F ( CVS & F ( Kabob and Curry ) )
Find CVS and then find Citizen's Bank.; F ( CVS & F ( Citizen's Bank ) )
Find CVS and then find Barus Building.; F ( CVS & F ( Barus Building ) )
Find CVS and then find Watson Center.; F ( CVS & F ( Watson Center ) )
Find CVS and then find Marston Hall.; F ( CVS & F ( Marston Hall ) )
Find CVS and then find FedEx Office.; F ( CVS & F ( FedEx Office ) )
Find CVS and then find Nelson Fitness Center.; F ( CVS & F ( Nelson Fitness Center ) )
Find Citizen's Bank and then find Bookstore.; F ( Citizen's Bank & F ( Bookstore ) )
Find Citizen's Bank and then find Science Library.; F ( Citizen's Bank & F ( Science Library ) )
Find Citizen's Bank and then find Chipotle.; F ( Citizen's Bank & F ( Chipotle ) )
Find Citizen's Bank and then find Starbucks.; F ( Citizen's Bank & F ( Starbucks ) )
Find Citizen's Bank and then find Kabob and Curry.; F ( Citizen's Bank & F ( Kabob and Curry ) )
Find Citizen's Bank and then find CVS.; F ( Citizen's Bank & F ( CVS ) )
Find Citizen's Bank and then find Barus Building.; F ( Citizen's Bank & F ( Barus Building ) )
Find Citizen's Bank and then find Watson Center.; F ( Citizen's Bank & F ( Watson Center ) )
Find Citizen's Bank and then find Marston Hall.; F ( Citizen's Bank & F ( Marston Hall ) )
Find Citizen's Bank and then find FedEx Office.; F ( Citizen's Bank & F ( FedEx Office ) )
Find Citizen's Bank and then find Nelson Fitness Center.; F ( Citizen's Bank & F ( Nelson Fitness Center ) )
Find Barus Building and then find Bookstore.; F ( Barus Building & F ( Bookstore ) )
Find Barus Building and then find Science Library.; F ( Barus Building & F ( Science Library ) )
Find Barus Building and then find Chipotle.; F ( Barus Building & F ( Chipotle ) )
Find Barus Building and then find Starbucks.; F ( Barus Building & F ( Starbucks ) )
Find Barus Building and then find Kabob and Curry.; F ( Barus Building & F ( Kabob and Curry ) )
Find Barus Building and then find CVS.; F ( Barus Building & F ( CVS ) )
Find Barus Building and then find Citizen's Bank.; F ( Barus Building & F ( Citizen's Bank ) )
Find Barus Building and then find Watson Center.; F ( Barus Building & F ( Watson Center ) )
Find Barus Building and then find Marston Hall.; F ( Barus Building & F ( Marston Hall ) )
Find Barus Building and then find FedEx Office.; F ( Barus Building & F ( FedEx Office ) )
Find Barus Building and then find Nelson Fitness Center.; F ( Barus Building & F ( Nelson Fitness Center ) )
Find Watson Center and then find Bookstore.; F ( Watson Center & F ( Bookstore ) )
Find Watson Center and then find Science Library.; F ( Watson Center & F ( Science Library ) )
Find Watson Center and then find Chipotle.; F ( Watson Center & F ( Chipotle ) )
Find Watson Center and then find Starbucks.; F ( Watson Center & F ( Starbucks ) )
Find Watson Center and then find Kabob and Curry.; F ( Watson Center & F ( Kabob and Curry ) )
Find Watson Center and then find CVS.; F ( Watson Center & F ( CVS ) )
Find Watson Center and then find Citizen's Bank.; F ( Watson Center & F ( Citizen's Bank ) )
Find Watson Center and then find Barus Building.; F ( Watson Center & F ( Barus Building ) )
Find Watson Center and then find Marston Hall.; F ( Watson Center & F ( Marston Hall ) )
Find Watson Center and then find FedEx Office.; F ( Watson Center & F ( FedEx Office ) )
Find Watson Center and then find Nelson Fitness Center.; F ( Watson Center & F ( Nelson Fitness Center ) )
Find Marston Hall and then find Bookstore.; F ( Marston Hall & F ( Bookstore ) )
Find Marston Hall and then find Science Library.; F ( Marston Hall & F ( Science Library ) )
Find Marston Hall and then find Chipotle.; F ( Marston Hall & F ( Chipotle ) )
Find Marston Hall and then find Starbucks.; F ( Marston Hall & F ( Starbucks ) )
Find Marston Hall and then find Kabob and Curry.; F ( Marston Hall & F ( Kabob and Curry ) )
Find Marston Hall and then find CVS.; F ( Marston Hall & F ( CVS ) )
Find Marston Hall and then find Citizen's Bank.; F ( Marston Hall & F ( Citizen's Bank ) )
Find Marston Hall and then find Barus Building.; F ( Marston Hall & F ( Barus Building ) )
Find Marston Hall and then find Watson Center.; F ( Marston Hall & F ( Watson Center ) )
Find Marston Hall and then find FedEx Office.; F ( Marston Hall & F ( FedEx Office ) )
Find Marston Hall and then find Nelson Fitness Center.; F ( Marston Hall & F ( Nelson Fitness Center ) )
Find FedEx Office and then find Bookstore.; F ( FedEx Office & F ( Bookstore ) )
Find FedEx Office and then find Science Library.; F ( FedEx Office & F ( Science Library ) )
Find FedEx Office and then find Chipotle.; F ( FedEx Office & F ( Chipotle ) )
Find FedEx Office and then find Starbucks.; F ( FedEx Office & F ( Starbucks ) )
Find FedEx Office and then find Kabob and Curry.; F ( FedEx Office & F ( Kabob and Curry ) )
Find FedEx Office and then find CVS.; F ( FedEx Office & F ( CVS ) )
Find FedEx Office and then find Citizen's Bank.; F ( FedEx Office & F ( Citizen's Bank ) )
Find FedEx Office and then find Barus Building.; F ( FedEx Office & F ( Barus Building ) )
Find FedEx Office and then find Watson Center.; F ( FedEx Office & F ( Watson Center ) )
Find FedEx Office and then find Marston Hall.; F ( FedEx Office & F ( Marston Hall ) )
Find FedEx Office and then find Nelson Fitness Center.; F ( FedEx Office & F ( Nelson Fitness Center ) )
Find Nelson Fitness Center and then find Bookstore.; F ( Nelson Fitness Center & F ( Bookstore ) )
Find Nelson Fitness Center and then find Science Library.; F ( Nelson Fitness Center & F ( Science Library ) )
Find Nelson Fitness Center and then find Chipotle.; F ( Nelson Fitness Center & F ( Chipotle ) )
Find Nelson Fitness Center and then find Starbucks.; F ( Nelson Fitness Center & F ( Starbucks ) )
Find Nelson Fitness Center and then find Kabob and Curry.; F ( Nelson Fitness Center & F ( Kabob and Curry ) )
Find Nelson Fitness Center and then find CVS.; F ( Nelson Fitness Center & F ( CVS ) )
Find Nelson Fitness Center and then find Citizen's Bank.; F ( Nelson Fitness Center & F ( Citizen's Bank ) )
Find Nelson Fitness Center and then find Barus Building.; F ( Nelson Fitness Center & F ( Barus Building ) )
Find Nelson Fitness Center and then find Watson Center.; F ( Nelson Fitness Center & F ( Watson Center ) )
Find Nelson Fitness Center and then find Marston Hall.; F ( Nelson Fitness Center & F ( Marston Hall ) )
Find Nelson Fitness Center and then find FedEx Office.; F ( Nelson Fitness Center & F ( FedEx Office ) )
Go to Bookstore and then go to Science Library.; F ( Bookstore & F ( Science Library ) )
Go to Bookstore and then go to Starbucks.; F ( Bookstore & F ( Starbucks ) )
Go to Bookstore and then go to Chipotle.; F ( Bookstore & F ( Chipotle ) )
Go to Bookstore and then go to Kabob and Curry.; F ( Bookstore & F ( Kabob and Curry ) )
Go to Bookstore and then go to CVS.; F ( Bookstore & F ( CVS ) )
Go to Bookstore and then go to Citizen's Bank.; F ( Bookstore & F ( Citizen's Bank ) )
Go to Bookstore and then go to Barus Building.; F ( Bookstore & F ( Barus Building ) )
Go to Bookstore and then go to Watson Center.; F ( Bookstore & F ( Watson Center ) )
Go to Bookstore and then go to Marston Hall.; F ( Bookstore & F ( Marston Hall ) )
Go to Bookstore and then go to FedEx Office.; F ( Bookstore & F ( FedEx Office ) )
Go to Bookstore and then go to Nelson Fitness Center.; F ( Bookstore & F ( Nelson Fitness Center ) )
Go to Science Library and then go to Bookstore.; F ( Science Library & F ( Bookstore ) )
Go to Science Library and then go to Starbucks.; F ( Science Library & F ( Starbucks ) )
Go to Science Library and then go to Chipotle.; F ( Science Library & F ( Chipotle ) )
Go to Science Library and then go to Kabob and Curry.; F ( Science Library & F ( Kabob and Curry ) )
Go to Science Library and then go to CVS.; F ( Science Library & F ( CVS ) )
Go to Science Library and then go to Citizen's Bank.; F ( Science Library & F ( Citizen's Bank ) )
Go to Science Library and then go to Barus Building.; F ( Science Library & F ( Barus Building ) )
Go to Science Library and then go to Watson Center.; F ( Science Library & F ( Watson Center ) )
Go to Science Library and then go to Marston Hall.; F ( Science Library & F ( Marston Hall ) )
Go to Science Library and then go to FedEx Office.; F ( Science Library & F ( FedEx Office ) )
Go to Science Library and then go to Nelson Fitness Center.; F ( Science Library & F ( Nelson Fitness Center ) )
Go to Starbucks and then go to Bookstore.; F ( Starbucks & F ( Bookstore ) )
Go to Starbucks and then go to Science Library.; F ( Starbucks & F ( Science Library ) )
Go to Starbucks and then go to Chipotle.; F ( Starbucks & F ( Chipotle ) )
Go to Starbucks and then go to Kabob and Curry.; F ( Starbucks & F ( Kabob and Curry ) )
Go to Starbucks and then go to CVS.; F ( Starbucks & F ( CVS ) )
Go to Starbucks and then go to Citizen's Bank.; F ( Starbucks & F ( Citizen's Bank ) )
Go to Starbucks and then go to Barus Building.; F ( Starbucks & F ( Barus Building ) )
Go to Starbucks and then go to Watson Center.; F ( Starbucks & F ( Watson Center ) )
Go to Starbucks and then go to Marston Hall.; F ( Starbucks & F ( Marston Hall ) )
Go to Starbucks and then go to FedEx Office.; F ( Starbucks & F ( FedEx Office ) )
Go to Starbucks and then go to Nelson Fitness Center.; F ( Starbucks & F ( Nelson Fitness Center ) )
Go to Chipotle and then go to Bookstore.; F ( Chipotle & F ( Bookstore ) )
Go to Chipotle and then go to Science Library.; F ( Chipotle & F ( Science Library ) )
Go to Chipotle and then go to Kabob and Curry.; F ( Chipotle & F ( Kabob and Curry ) )
Go to Chipotle and then go to CVS.; F ( Chipotle & F ( CVS ) )
Go to Chipotle and then go to Citizen's Bank.; F ( Chipotle & F ( Citizen's Bank ) )
Go to Chipotle and then go to Barus Building.; F ( Chipotle & F ( Barus Building ) )
Go to Chipotle and then go to Watson Center.; F ( Chipotle & F ( Watson Center ) )
Go to Chipotle and then go to Marston Hall.; F ( Chipotle & F ( Marston Hall ) )
Go to Chipotle and then go to FedEx Office.; F ( Chipotle & F ( FedEx Office ) )
Go to Chipotle and then go to Nelson Fitness Center.; F ( Chipotle & F ( Nelson Fitness Center ) )
Go to Chipotle and then go to Starbucks.; F ( Chipotle & F ( Starbucks ) )
Go to Kabob and Curry and then go to Bookstore.; F ( Kabob and Curry & F ( Bookstore ) )
Go to Kabob and Curry and then go to Science Library.; F ( Kabob and Curry & F ( Science Library ) )
Go to Kabob and Curry and then go to Chipotle.; F ( Kabob and Curry & F ( Chipotle ) )
Go to Kabob and Curry and then go to Starbucks.; F ( Kabob and Curry & F ( Starbucks ) )
Go to Kabob and Curry and then go to CVS.; F ( Kabob and Curry & F ( CVS ) )
Go to Kabob and Curry and then go to Citizen's Bank.; F ( Kabob and Curry & F ( Citizen's Bank ) )
Go to Kabob and Curry and then go to Barus Building.; F ( Kabob and Curry & F ( Barus Building ) )
Go to Kabob and Curry and then go to Watson Center.; F ( Kabob and Curry & F ( Watson Center ) )
Go to Kabob and Curry and then go to Marston Hall.; F ( Kabob and Curry & F ( Marston Hall ) )
Go to Kabob and Curry and then go to FedEx Office.; F ( Kabob and Curry & F ( FedEx Office ) )
Go to Kabob and Curry and then go to Nelson Fitness Center.; F ( Kabob and Curry & F ( Nelson Fitness Center ) )
Go to CVS and then go to Bookstore.; F ( CVS & F ( Bookstore ) )
Go to CVS and then go to Science Library.; F ( CVS & F ( Science Library ) )
Go to CVS and then go to Chipotle.; F ( CVS & F ( Chipotle ) )
Go to CVS and then go to Starbucks.; F ( CVS & F ( Starbucks ) )
Go to CVS and then go to Kabob and Curry.; F ( CVS & F ( Kabob and Curry ) )
Go to CVS and then go to Citizen's Bank.; F ( CVS & F ( Citizen's Bank ) )
Go to CVS and then go to Barus Building.; F ( CVS & F ( Barus Building ) )
Go to CVS and then go to Watson Center.; F ( CVS & F ( Watson Center ) )
Go to CVS and then go to Marston Hall.; F ( CVS & F ( Marston Hall ) )
Go to CVS and then go to FedEx Office.; F ( CVS & F ( FedEx Office ) )
Go to CVS and then go to Nelson Fitness Center.; F ( CVS & F ( Nelson Fitness Center ) )
Go to Citizen's Bank and then go to Bookstore.; F ( Citizen's Bank & F ( Bookstore ) )
Go to Citizen's Bank and then go to Science Library.; F ( Citizen's Bank & F ( Science Library ) )
Go to Citizen's Bank and then go to Chipotle.; F ( Citizen's Bank & F ( Chipotle ) )
Go to Citizen's Bank and then go to Starbucks.; F ( Citizen's Bank & F ( Starbucks ) )
Go to Citizen's Bank and then go to Kabob and Curry.; F ( Citizen's Bank & F ( Kabob and Curry ) )
Go to Citizen's Bank and then go to CVS.; F ( Citizen's Bank & F ( CVS ) )
Go to Citizen's Bank and then go to Barus Building.; F ( Citizen's Bank & F ( Barus Building ) )
Go to Citizen's Bank and then go to Watson Center.; F ( Citizen's Bank & F ( Watson Center ) )
Go to Citizen's Bank and then go to Marston Hall.; F ( Citizen's Bank & F ( Marston Hall ) )
Go to Citizen's Bank and then go to FedEx Office.; F ( Citizen's Bank & F ( FedEx Office ) )
Go to Citizen's Bank and then go to Nelson Fitness Center.; F ( Citizen's Bank & F ( Nelson Fitness Center ) )
Go to Barus Building and then go to Bookstore.; F ( Barus Building & F ( Bookstore ) )
Go to Barus Building and then go to Science Library.; F ( Barus Building & F ( Science Library ) )
Go to Barus Building and then go to Chipotle.; F ( Barus Building & F ( Chipotle ) )
Go to Barus Building and then go to Starbucks.; F ( Barus Building & F ( Starbucks ) )
Go to Barus Building and then go to Kabob and Curry.; F ( Barus Building & F ( Kabob and Curry ) )
Go to Barus Building and then go to CVS.; F ( Barus Building & F ( CVS ) )
Go to Barus Building and then go to Citizen's Bank.; F ( Barus Building & F ( Citizen's Bank ) )
Go to Barus Building and then go to Watson Center.; F ( Barus Building & F ( Watson Center ) )
Go to Barus Building and then go to Marston Hall.; F ( Barus Building & F ( Marston Hall ) )
Go to Barus Building and then go to FedEx Office.; F ( Barus Building & F ( FedEx Office ) )
Go to Barus Building and then go to Nelson Fitness Center.; F ( Barus Building & F ( Nelson Fitness Center ) )
Go to Watson Center and then go to Bookstore.; F ( Watson Center & F ( Bookstore ) )
Go to Watson Center and then go to Science Library.; F ( Watson Center & F ( Science Library ) )
Go to Watson Center and then go to Chipotle.; F ( Watson Center & F ( Chipotle ) )
Go to Watson Center and then go to Starbucks.; F ( Watson Center & F ( Starbucks ) )
Go to Watson Center and then go to Kabob and Curry.; F ( Watson Center & F ( Kabob and Curry ) )
Go to Watson Center and then go to CVS.; F ( Watson Center & F ( CVS ) )
Go to Watson Center and then go to Citizen's Bank.; F ( Watson Center & F ( Citizen's Bank ) )
Go to Watson Center and then go to Barus Building.; F ( Watson Center & F ( Barus Building ) )
Go to Watson Center and then go to Marston Hall.; F ( Watson Center & F ( Marston Hall ) )
Go to Watson Center and then go to FedEx Office.; F ( Watson Center & F ( FedEx Office ) )
Go to Watson Center and then go to Nelson Fitness Center.; F ( Watson Center & F ( Nelson Fitness Center ) )
Go to Marston Hall and then go to Bookstore.; F ( Marston Hall & F ( Bookstore ) )
Go to Marston Hall and then go to Science Library.; F ( Marston Hall & F ( Science Library ) )
Go to Marston Hall and then go to Chipotle.; F ( Marston Hall & F ( Chipotle ) )
Go to Marston Hall and then go to Starbucks.; F ( Marston Hall & F ( Starbucks ) )
Go to Marston Hall and then go to Kabob and Curry.; F ( Marston Hall & F ( Kabob and Curry ) )
Go to Marston Hall and then go to CVS.; F ( Marston Hall & F ( CVS ) )
Go to Marston Hall and then go to Citizen's Bank.; F ( Marston Hall & F ( Citizen's Bank ) )
Go to Marston Hall and then go to Barus Building.; F ( Marston Hall & F ( Barus Building ) )
Go to Marston Hall and then go to Watson Center.; F ( Marston Hall & F ( Watson Center ) )
Go to Marston Hall and then go to FedEx Office.; F ( Marston Hall & F ( FedEx Office ) )
Go to Marston Hall and then go to Nelson Fitness Center.; F ( Marston Hall & F ( Nelson Fitness Center ) )
Go to FedEx Office and then go to Bookstore.; F ( FedEx Office & F ( Bookstore ) )
Go to FedEx Office and then go to Science Library.; F ( FedEx Office & F ( Science Library ) )
Go to FedEx Office and then go to Chipotle.; F ( FedEx Office & F ( Chipotle ) )
Go to FedEx Office and then go to Starbucks.; F ( FedEx Office & F ( Starbucks ) )
Go to FedEx Office and then go to Kabob and Curry.; F ( FedEx Office & F ( Kabob and Curry ) )
Go to FedEx Office and then go to CVS.; F ( FedEx Office & F ( CVS ) )
Go to FedEx Office and then go to Citizen's Bank.; F ( FedEx Office & F ( Citizen's Bank ) )
Go to FedEx Office and then go to Barus Building.; F ( FedEx Office & F ( Barus Building ) )
Go to FedEx Office and then go to Watson Center.; F ( FedEx Office & F ( Watson Center ) )
Go to FedEx Office and then go to Marston Hall.; F ( FedEx Office & F ( Marston Hall ) )
Go to FedEx Office and then go to Nelson Fitness Center.; F ( FedEx Office & F ( Nelson Fitness Center ) )
Go to Nelson Fitness Center and then go to Bookstore.; F ( Nelson Fitness Center & F ( Bookstore ) )
Go to Nelson Fitness Center and then go to Science Library.; F ( Nelson Fitness Center & F ( Science Library ) )
Go to Nelson Fitness Center and then go to Chipotle.; F ( Nelson Fitness Center & F ( Chipotle ) )
Go to Nelson Fitness Center and then go to Starbucks.; F ( Nelson Fitness Center & F ( Starbucks ) )
Go to Nelson Fitness Center and then go to Kabob and Curry.; F ( Nelson Fitness Center & F ( Kabob and Curry ) )
Go to Nelson Fitness Center and then go to CVS.; F ( Nelson Fitness Center & F ( CVS ) )
Go to Nelson Fitness Center and then go to Citizen's Bank.; F ( Nelson Fitness Center & F ( Citizen's Bank ) )
Go to Nelson Fitness Center and then go to Barus Building.; F ( Nelson Fitness Center & F ( Barus Building ) )
Go to Nelson Fitness Center and then go to Watson Center.; F ( Nelson Fitness Center & F ( Watson Center ) )
Go to Nelson Fitness Center and then go to Marston Hall.; F ( Nelson Fitness Center & F ( Marston Hall ) )
Go to Nelson Fitness Center and then go to FedEx Office.; F ( Nelson Fitness Center & F ( FedEx Office ) )
Stay on Thayer St and find Bookstore.; G ( Thayer St ) & F ( Bookstore )
Stay on Thayer St and find Science Library.; G ( Thayer St ) & F ( Science Library )
Stay on Thayer St and find Starbucks.; G ( Thayer St ) & F ( Starbucks )
Stay on Thayer St and find Chipotle.; G ( Thayer St ) & F ( Chipotle )
Stay on Thayer St and find Kabob and Curry.; G ( Thayer St ) & F ( Kabob and Curry )
Stay on Thayer St and find CVS.; G ( Thayer St ) & F ( CVS )
Stay on Brook St and find Citizen's Bank.; G ( Brook St ) & F ( Citizen's Bank )
Stay on Brook St and find Barus Building.; G ( Brook St ) & F ( Barus Building )
Stay on Brook St and find Watson Center.; G ( Brook St ) & F ( Watson Center )
Stay on Brook St and find Marston Hall.; G ( Brook St ) & F ( Marston Hall )
Stay on Angell St and find Chipotle.; G ( Angell St  ) & F ( Chipotle )
Stay on Angell St and find Bookstore.; G ( Angell St  ) & F ( Bookstore )
Do not leave Thayer St and find Bookstore.; G ( Thayer St ) & F ( Bookstore )
Do not leave Thayer St and find Science Library.; G ( Thayer St ) & F ( Science Library )
Do not leave Thayer St and find Starbucks.; G ( Thayer St ) & F ( Starbucks )
Do not leave Thayer St and find Chipotle.; G ( Thayer St ) & F ( Chipotle )
Do not leave Thayer St and find Kabob and Curry.; G ( Thayer St ) & F ( Kabob and Curry )
Do not leave Thayer St and find CVS.; G ( Thayer St ) & F ( CVS )
Do not leave Brook St and find Citizen's Bank.; G ( Brook St ) & F ( Citizen's Bank )
Do not leave Brook St and find Barus Building.; G ( Brook St ) & F ( Barus Building )
Do not leave Brook St and find Watson Center.; G ( Brook St ) & F ( Watson Center )
Do not leave Brook St and find Marston Hall.; G ( Brook St ) & F ( Marston Hall )
Do not leave Angell St and find Chipotle.; G ( Angell St  ) & F ( Chipotle )
Do not leave Angell St and find Bookstore.; G ( Angell St  ) & F ( Bookstore )
Do not enter Brook St and find Bookstore.; G ( ! Brook St ) & F ( Bookstore )
Do not enter Brook St and find Science Library.; G ( ! Brook St ) & F ( Science Library )
Do not enter Brook St and find Starbucks.; G ( ! Brook St ) & F ( Starbucks )
Do not enter Brook St and find Chipotle.; G ( ! Brook St ) & F ( Chipotle )
Do not enter Brook St and find Kabob and Curry.; G ( ! Brook St ) & F ( Kabob and Curry )
Do not enter Brook St and find CVS.; G ( ! Brook St ) & F ( CVS )
Do not enter Brook St and find Chipotle.; G ( ! Brook St ) & F ( Chipotle )
Do not enter Brook St and find Bookstore.; G ( ! Brook St ) & F ( Bookstore )
Do not enter Thayer St and find Citizen's Bank.; G ( ! Thayer St ) & F ( Citizen's Bank )
Do not enter Thayer St and find Barus Building.; G ( ! Thayer St ) & F ( Barus Building )
Do not enter Thayer St and find Watson Center.; G ( ! Thayer St ) & F ( Watson Center )
Do not enter Thayer St and find Marston Hall.; G ( ! Thayer St ) & F ( Marston Hall )
Do not enter Thayer St and find Chipotle.; G ( ! Thayer St ) & F ( Chipotle )
Do not enter Thayer St and find Bookstore.; G ( ! Thayer St ) & F ( Bookstore )
Do not enter Angell St and find Bookstore.; G ( ! Angell St ) & F ( Bookstore )
Do not enter Angell St and find Science Library.; G ( ! Angell St ) & F ( Science Library )
Do not enter Angell St and find Starbucks.; G ( ! Angell St ) & F ( Starbucks )
Do not enter Angell St and find Chipotle.; G ( ! Angell St ) & F ( Chipotle )
Do not enter Angell St and find Kabob and Curry.; G ( ! Angell St ) & F ( Kabob and Curry )
Do not enter Angell St and find CVS.; G ( ! Angell St ) & F ( CVS )
Do not enter Angell St and find Citizen's Bank.; G ( ! Angell St ) & F ( Citizen's Bank )
Do not enter Angell St and find Barus Building.; G ( ! Angell St ) & F ( Barus Building )
Do not enter Angell St and find Watson Center.; G ( ! Angell St ) & F ( Watson Center )
Do not enter Angell St and find Marston Hall.; G ( ! Angell St ) & F ( Marston Hall )
Stay away from Brook St and find Bookstore.; G ( ! Brook St ) & F ( Bookstore )
Stay away from Brook St and find Science Library.; G ( ! Brook St ) & F ( Science Library )
Stay away from Brook St and find Starbucks.; G ( ! Brook St ) & F ( Starbucks )
Stay away from Brook St and find Chipotle.; G ( ! Brook St ) & F ( Chipotle )
Stay away from Brook St and find Kabob and Curry.; G ( ! Brook St ) & F ( Kabob and Curry )
Stay away from Brook St and find CVS.; G ( ! Brook St ) & F ( CVS )
Stay away from Brook St and find Chipotle.; G ( ! Brook St ) & F ( Chipotle )
Stay away from Brook St and find Bookstore.; G ( ! Brook St ) & F ( Bookstore )
